date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:00	4216/4216	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Oct%202016%2012:39:15%20GMT	http://tavern-html.axiomthemes.com/cdn-cgi/l/email-protection	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/cdn-cgi/l/email-protection.html	(from http://tavern-html.axiomthemes.com/)
09:41:01	27453/27453	---M--	200	added ('OK')	image/jpeg	etag:%225658789e-6b3d%22	http://tavern-html.axiomthemes.com/images/team5-350x350.jpg	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/team5-350x350.jpg	(from http://tavern-html.axiomthemes.com/)
09:41:02	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878d8-1c1f%22	http://tavern-html.axiomthemes.com/js/vendor/jquery-migrate.min.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/jquery-migrate.min.js	(from http://tavern-html.axiomthemes.com/)
09:41:05	185153/185153	---M--	200	added ('OK')	image/jpeg	etag:%2256587873-2d341%22	http://tavern-html.axiomthemes.com/images/home-1-img-1.jpg	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/home-1-img-1.jpg	(from http://tavern-html.axiomthemes.com/)
09:41:05	95957/95957	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878d9-176d5%22	http://tavern-html.axiomthemes.com/js/vendor/jquery-1.11.3.min.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/jquery-1.11.3.min.js	(from http://tavern-html.axiomthemes.com/)
09:41:06	101388/101388	---M--	200	added ('OK')	image/png	etag:%22565878ad-18c0c%22	http://tavern-html.axiomthemes.com/images/beer-4.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/beer-4.png	(from http://tavern-html.axiomthemes.com/)
09:41:06	4206/4206	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878d8-106e%22	http://tavern-html.axiomthemes.com/js/vendor/superfish.min.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/superfish.min.js	(from http://tavern-html.axiomthemes.com/)
09:41:07	26435/26435	---M-Z	200	added ('OK')	application/javascript	etag:W/%2256603614-6743%22	http://tavern-html.axiomthemes.com/js/custom/_main.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/custom/_main.js	(from http://tavern-html.axiomthemes.com/)
09:41:07	98511/98511	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878fd-180cf%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/js/jquery.themepunch.tools.min.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/js/jquery.themepunch.tools.min.js	(from http://tavern-html.axiomthemes.com/)
09:41:08	34147/34147	---M-Z	200	added ('OK')	application/javascript	etag:W/%2256587abf-8563%22	http://tavern-html.axiomthemes.com/js/custom/core.utils.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/custom/core.utils.js	(from http://tavern-html.axiomthemes.com/)
09:41:08	26565/26565	---M-Z	200	added ('OK')	application/javascript	etag:W/%2256603a92-67c5%22	http://tavern-html.axiomthemes.com/js/custom/shortcodes.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/custom/shortcodes.js	(from http://tavern-html.axiomthemes.com/)
09:41:08	46326/46326	---M-Z	200	added ('OK')	application/javascript	etag:W/%2256587abe-b4f6%22	http://tavern-html.axiomthemes.com/js/custom/core.init.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/custom/core.init.js	(from http://tavern-html.axiomthemes.com/)
09:41:09	11170/11170	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878e4-2ba2%22	http://tavern-html.axiomthemes.com/js/vendor/countdown/jquery.plugin.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/countdown/jquery.plugin.js	(from http://tavern-html.axiomthemes.com/)
09:41:09	9731/9731	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878d5-2603%22	http://tavern-html.axiomthemes.com/js/custom/core.googlemap.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/custom/core.googlemap.js	(from http://tavern-html.axiomthemes.com/)
09:41:09	5406/5406	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878db-151e%22	http://tavern-html.axiomthemes.com/js/custom/core.messages/core.messages.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/custom/core.messages/core.messages.js	(from http://tavern-html.axiomthemes.com/)
09:41:09	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Oct%202016%2012:39:25%20GMT	http://tavern-html.axiomthemes.com/js/vendor/swiper/idangerous.swiper.scrollbar-2.4.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/swiper/idangerous.swiper.scrollbar-2.4.js	(from http://tavern-html.axiomthemes.com/)
09:41:09	113138/113138	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878fe-1b9f2%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/js/jquery.themepunch.revolution.min.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/js/jquery.themepunch.revolution.min.js	(from http://tavern-html.axiomthemes.com/)
09:41:10	35865/35865	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878e3-8c19%22	http://tavern-html.axiomthemes.com/js/vendor/countdown/jquery.countdown.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/countdown/jquery.countdown.js	(from http://tavern-html.axiomthemes.com/)
09:41:10	32292/32292	---M-Z	200	added ('OK')	application/javascript	etag:W/%225658785e-7e24%22	http://tavern-html.axiomthemes.com/custom_tools/js/skin.customizer.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/custom_tools/js/skin.customizer.js	(from http://tavern-html.axiomthemes.com/)
09:41:10	16372/16372	---M-Z	200	added ('OK')	application/javascript	etag:W/%225658785e-3ff4%22	http://tavern-html.axiomthemes.com/custom_tools/js/front.customizer.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/custom_tools/js/front.customizer.js	(from http://tavern-html.axiomthemes.com/)
09:41:11	111661/111661	---M-Z	200	added ('OK')	application/javascript	etag:W/%22565878e9-1b42d%22	http://tavern-html.axiomthemes.com/js/vendor/swiper/idangerous.swiper-2.7.js	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/swiper/idangerous.swiper-2.7.js	(from http://tavern-html.axiomthemes.com/)
09:41:13	4289/4289	---M--	200	added ('OK')	image/png	etag:%2256587902-10c1%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/assets/shadow1.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/assets/shadow1.png	(from http://tavern-html.axiomthemes.com/js/vendor/revslider/css/settings.css)
09:41:14	5661/5661	---M--	200	added ('OK')	image/png	etag:%2256587905-161d%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/assets/shadow2.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/assets/shadow2.png	(from http://tavern-html.axiomthemes.com/js/vendor/revslider/css/settings.css)
09:41:14	42935/42935	---M--	200	added ('OK')	image/png	etag:%2256587914-a7b7%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/images/gradient/g30.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/images/gradient/g30.png	(from http://tavern-html.axiomthemes.com/js/vendor/revslider/css/settings.css)
09:41:14	6428/6428	---M--	200	added ('OK')	image/png	etag:%2256587903-191c%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/assets/shadow3.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/assets/shadow3.png	(from http://tavern-html.axiomthemes.com/js/vendor/revslider/css/settings.css)
09:41:14	933/933	---M--	200	added ('OK')	image/png	etag:%2256587903-3a5%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/assets/gridtile.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/assets/gridtile.png	(from http://tavern-html.axiomthemes.com/js/vendor/revslider/css/settings.css)
09:41:15	931/931	---M--	200	added ('OK')	image/png	etag:%2256587903-3a3%22	http://tavern-html.axiomthemes.com/js/vendor/revslider/assets/gridtile_white.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/js/vendor/revslider/assets/gridtile_white.png	(from http://tavern-html.axiomthemes.com/js/vendor/revslider/css/settings.css)
